,statid,name,statlat,statlong,statreg,walk_score,transit_score,bike_score,dist_creg
126,4369,Pop-up Station at CicLAvia Culver City Hub,34.024570000000004,-118.394081,Westside,87,70.0,69,0.0451
127,4136,Waterfront Park (West),33.771759,-118.27654299999999,Port of LA,61,40.0,90,0.0258
128,4328,Sepulveda & Palms,34.020061,-118.422684,Westside,77,49.0,55,0.0178
129,4127,Catalina Express,33.74892,-118.27519199999999,Port of LA,30,44.0,62,0.0031
130,4350,Rose & Rennie,33.9986,-118.472977,Westside,87,55.0,94,0.0381
131,4373,Public Bike Rack: Westwood/Rancho Park Expo Line North,34.036770000000004,-118.425377,Westside,75,66.0,78,0.0303
132,4135,Waterfront Park (East),33.772301,-118.26804399999999,Port of LA,61,40.0,90,0.0276
133,4332,National & Motor,34.02948,-118.41046899999999,Westside,89,60.0,75,0.0332
134,4333,Venice & Walgrove,33.997231,-118.44596899999999,Westside,87,52.0,82,0.0149
135,4372,Public Bike Rack: Culver City Expo Line,34.027882,-118.388901,Westside,93,66.0,95,0.0511
136,4313,Westlake/Macarthur Park Station,34.056808000000004,-118.275002,DTLA,95,84.0,69,0.0073
137,4380,Centinela & Lucile,33.982921999999995,-118.410927,Westside,60,57.66197183098591,82,0.0359
138,4382,Westwood & National,34.030471999999996,-118.42098200000001,Westside,81,59.0,69,0.0268
139,4387,Row DTLA,34.03352,-118.24183700000002,DTLA,68,75.0,73,0.0338
140,4247,25th & Vermont,34.033642,-118.29131299999999,DTLA,93,64.0,80,0.0315
141,4302,Vermont Pl & Vermont,34.092490999999995,-118.29144299999999,DTLA,94,69.0,72,0.0443
142,4397,Mar Vista Rec Center,34.01688,-118.42845200000001,Westside,64,48.0,76,0.0115
143,4410,Kenmore & 6th,34.063351000000004,-118.296799,DTLA,95,81.0,66,0.03
144,4381,Sepulveda & Lucerne,34.000332,-118.402321,Westside,75,44.0,78,0.0348
145,4378,Palms & Kelton,34.022331,-118.41577099999999,Westside,76,57.0,75,0.0247
146,4404,Albany & Olympic,34.04813,-118.271027,DTLA,90,96.0,82,0.0074
147,4409,Maxella & Del Ray,33.986511,-118.44191699999999,Westside,88,51.0,78,0.0226
148,4396,Sepulveda & National,34.02697,-118.428207,Westside,82,59.0,72,0.0202
149,4390,Kenmore & 3rd,34.069271,-118.29659299999999,DTLA,93,77.0,65,0.032
150,4303,Sunset & Virgil,34.098011,-118.287071,DTLA,94,69.0,58,0.0472
151,4389,Expo/Sepulveda Expo Line Station,34.035351,-118.43414299999999,Westside,81,68.0,85,0.027
152,4400,Newton & Central,34.027828,-118.24713899999999,DTLA,80,64.0,75,0.0341
153,4383,McLaughlin & Venice,34.009021999999995,-118.42501100000001,Westside,82,50.0,90,0.0112
154,4401,Vermont & Beverly,34.075611,-118.29186200000001,DTLA,90,66.0,59,0.0316
155,4408,Venice & Sawtelle,34.011798999999996,-118.419533,Westside,83,52.0,89,0.017
156,4301,Maubert & Vermont,34.099049,-118.291496,DTLA,96,70.0,58,0.0501
157,4337,Inglewood & Braddock,33.993019,-118.41490900000001,Westside,82,47.0,86,0.0263
158,4385,Public Bike Rack: Westwood/Rancho Park Expo Line,34.036678,-118.425339,Westside,75,66.0,78,0.0303
159,4405,Berendo & Olympic,34.051899,-118.293678,DTLA,96,75.0,67,0.0258
160,4379,Sepulveda & Charnock,34.017368,-118.420601,Westside,82,53.0,70,0.018
161,4394,Westlawn & Beatrice,33.980789,-118.414902,Westside,64,47.0,81,0.0349
162,4395,COAST Pop-up,34.162890999999995,-118.37016299999999,Westside,80,64.0,82,0.168
163,4443,Flower & Jefferson,34.02166,-118.278687,DTLA,83,60.0,59,0.0349
164,4444,Wilshire & Hobart,34.061619,-118.305573,DTLA,96,78.0,63,0.0382
165,4429,Chandler & Cahuenga,34.168751,-118.36187,North Hollywood,82,45.0,74,0.0122
166,4384,Inglewood & Ballona,33.990318,-118.412048,Westside,95,54.0,61,0.0302
167,3079,Temple & Vignes,34.05014,-118.23319199999999,DTLA,92,93.0,65,0.0351
168,4402,Pop Hollywood Ciclavia Walk of Fame Hub,34.101509,-118.33979,DTLA,94,67.0,72,0.0856
169,4427,Vineland & Otsego,34.162890999999995,-118.37016299999999,North Hollywood,94,59.0,62,0.002
170,4393,Durango & Venice,34.026829,-118.39351699999999,Westside,96,66.0,91,0.0465
171,4431,Lankershim & Califa,34.177662,-118.382278,North Hollywood,78,56.0,71,0.0188
172,4426,Tujunga & Moorpark,34.149871999999995,-118.378891,North Hollywood,81,41.0,65,0.0139
173,4420,North Hollywood Station,34.168628999999996,-118.377068,North Hollywood,91,49.6,73,0.0084
174,4338,Sepulveda & Venice,34.01376,-118.417801,Westside,85,54.0,86,0.0192
175,4407,Pop Hollywood Ciclavia Barnsdall Art Park Hub,34.101871,-118.29377,DTLA,87,70.0,69,0.0536
176,4414,Chandler & Colfax,34.16835,-118.387497,North Hollywood,81,57.0,80,0.0168
177,4425,Mariota & Riverside,34.152,-118.350601,North Hollywood,85,36.0,60,0.0235
178,4438,Hoover & Fountain,34.094929,-118.28456100000001,DTLA,93,68.0,65,0.0434
179,4440,Wilshire & Alexandria,34.061661,-118.29824099999999,DTLA,96,80.0,62,0.031
180,4406,Normandie & Hollywood,34.101890999999995,-118.30061299999998,DTLA,90,69.0,64,0.0572
181,4419,Magnolia & Clybourn,34.165217999999996,-118.355148,North Hollywood,71,49.6,71,0.0171
182,4413,Lankershim & Vineland,34.158321,-118.370811,North Hollywood,90,47.0,67,0.0038
183,4418,Lankershim & Moorpark,34.150688,-118.366127,North Hollywood,77,47.0,69,0.0127
184,4417,Magnolia & Cartwright,34.164951,-118.36363200000001,North Hollywood,84,49.0,69,0.0088
185,4416,Riverside & Colfax,34.157581,-118.38826,North Hollywood,79,37.0,72,0.0169
186,4436,Vermont & Franklin,34.105782,-118.29193899999999,DTLA,93,65.0,56,0.0563
187,4445,Sunset & Douglas,34.073639,-118.251572,DTLA,86,66.0,46,0.025
188,4415,Chandler & Laurel Canyon,34.168331,-118.396156,North Hollywood,86,50.0,78,0.0251
189,4437,Franklin & Hillhurst,34.105358,-118.28726999999999,DTLA,95,64.0,56,0.0541
190,4432,Public Bike Rack: Universal City/Studio City Red Line Station,34.139568,-118.362251,North Hollywood,53,49.6,24,0.0244
191,4428,Lankershim & Hesby,34.161709,-118.372818,North Hollywood,95,60.0,65,0.0009
192,4442,Normandie & Sunset,34.098,-118.300468,DTLA,93,70.0,75,0.054
193,4441,University & 30th,34.026619000000004,-118.281807,DTLA,74,76.0,94,0.0314
194,4453,Lucile & Hoover,34.082648999999996,-118.284393,DTLA,85,62.0,50,0.0323
195,4430,Vineland & Burbank,34.172451,-118.370369,North Hollywood,86,60.0,78,0.0106
196,4449,12th & Valencia,34.04557,-118.274193,DTLA,91,88.0,75,0.0112
197,4435,Centre & 6th,33.738991,-118.28363,Port of LA,10,18.0,55,0.0102
198,4422,Riverside & Cahuenga,34.152142,-118.361954,North Hollywood,76,41.0,57,0.014
199,4451,Melbourne & Vermont,34.103629999999995,-118.29131299999999,DTLA,95,67.0,59,0.0541
200,4491,Main & Winston,34.04744,-118.24793999999999,DTLA,98,100.0,88,0.0214
201,4470,McConnell & Runway,33.976189,-118.418419,Westside,74,45.0,80,0.0368
202,4461,Rose & Overland,34.027649,-118.413559,Westside,87,58.0,72,0.0297
203,4456,Ardmore & Olympic,34.052429,-118.30201699999999,DTLA,96,73.0,69,0.0341
204,4447,Rampart & Wilshire,34.0616,-118.28199,DTLA,97,81.0,67,0.0155
205,4480,Figueroa Plaza,34.05896,-118.25058700000001,DTLA,86,100.0,51,0.0179
206,4454,Vermont & Exposition,34.017899,-118.29171799999999,DTLA,79,70.0,82,0.0439
207,4446,James M. Wood & Alvarado,34.05323,-118.278419,DTLA,94,81.0,78,0.0105
208,4452,Hillhurst & Kingswell,34.102329,-118.28746000000001,DTLA,97,67.0,55,0.0513
209,4448,23rd St & Flower,34.03027,-118.27319299999999,DTLA,85,95.0,90,0.0251
210,4450,Virgil & 6th,34.063492,-118.28716299999999,DTLA,94,81.0,73,0.021
211,4460,Culver & Inglewood,33.99485,-118.417961,Westside,73,48.0,63,0.0227
212,4439,Santa Monica & Virgil,34.090969,-118.286247,DTLA,92,68.0,84,0.0405
213,4484,Campus Center Drive,33.978821,-118.40756200000001,Westside,54,51.0,79,0.0412
214,4457,Hollywood & Rodney,34.100109,-118.289864,DTLA,97,70.0,57,0.0503
215,4493,Sunset Triangle Plaza,34.090278999999995,-118.27719099999999,DTLA,96,58.0,76,0.0366
216,4459,Culver & McConnell,33.985611,-118.42543799999999,Westside,73,46.0,90,0.0252
217,4472,Santa Monica & Sunset,34.092602,-118.28093,DTLA,91,63.0,78,0.0399
218,4455,Rowena & Hyperion,34.109359999999995,-118.27181200000001,DTLA,89,43.0,56,0.0546
219,4483,Glendale & Silver Lake,34.1007,-118.25911699999999,DTLA,80,42.0,46,0.0467
220,4458,Culver & Centinela,33.990971,-118.421127,Westside,85,47.0,88,0.0231
221,4473,Vendome & Beverly,34.07159,-118.282288,DTLA,89,71.0,69,0.022
222,4462,Overland & Charnock,34.022018,-118.409378,Westside,90,62.0,79,0.0301
223,4463,Tujunga & Hatteras,34.175671,-118.37896699999999,North Hollywood,80,59.0,64,0.0154
224,4469,Playa Vista Library,33.970242,-118.426071,Westside,60,46.0,75,0.0395
225,4482,Wilcox & Fountain,34.094372,-118.33100900000001,DTLA,94,67.0,81,0.0744
