,station_id,weekend,rain,temp_class,North Hollywood,Port of LA,DTLA,total_trip,stat_name,lat,long,walk_score,transit_score,bike_score,dregioncenter,trip_log
58,3014,0,0,2.0,0,0,1,529,Union Station West Portal,34.05661,-118.23721299999998,92,100.0,76,0.0308,2.7234556720351857
59,3014,0,1,0.0,0,0,1,13,Union Station West Portal,34.05661,-118.23721299999998,92,100.0,76,0.0308,1.1139433523068367
60,3014,0,1,1.0,0,0,1,4,Union Station West Portal,34.05661,-118.23721299999998,92,100.0,76,0.0308,0.6020599913279624
61,3014,1,0,0.0,0,0,1,41,Union Station West Portal,34.05661,-118.23721299999998,92,100.0,76,0.0308,1.6127838567197355
62,3014,1,0,1.0,0,0,1,146,Union Station West Portal,34.05661,-118.23721299999998,92,100.0,76,0.0308,2.164352855784437
63,3014,1,0,2.0,0,0,1,32,Union Station West Portal,34.05661,-118.23721299999998,92,100.0,76,0.0308,1.505149978319906
64,3016,0,0,0.0,0,0,1,144,Los Angeles & Temple,34.052898,-118.24156200000002,78,67.0,70,0.0265,2.1583624920952498
65,3016,0,0,1.0,0,0,1,548,Los Angeles & Temple,34.052898,-118.24156200000002,78,67.0,70,0.0265,2.738780558484369
66,3016,0,0,2.0,0,0,1,169,Los Angeles & Temple,34.052898,-118.24156200000002,78,67.0,70,0.0265,2.2278867046136734
67,3016,0,1,0.0,0,0,1,3,Los Angeles & Temple,34.052898,-118.24156200000002,78,67.0,70,0.0265,0.47712125471966244
68,3016,0,1,1.0,0,0,1,1,Los Angeles & Temple,34.052898,-118.24156200000002,78,67.0,70,0.0265,0.0
69,3016,1,0,0.0,0,0,1,8,Los Angeles & Temple,34.052898,-118.24156200000002,78,67.0,70,0.0265,0.9030899869919435
70,3016,1,0,1.0,0,0,1,56,Los Angeles & Temple,34.052898,-118.24156200000002,78,67.0,70,0.0265,1.7481880270062005
71,3016,1,0,2.0,0,0,1,15,Los Angeles & Temple,34.052898,-118.24156200000002,78,67.0,70,0.0265,1.1760912590556813
72,3018,0,0,0.0,0,0,1,179,Grand & Olympic,34.043732,-118.260139,95,100.0,84,0.0136,2.2528530309798933
73,3018,0,0,1.0,0,0,1,462,Grand & Olympic,34.043732,-118.260139,95,100.0,84,0.0136,2.6646419755561257
74,3018,0,0,2.0,0,0,1,118,Grand & Olympic,34.043732,-118.260139,95,100.0,84,0.0136,2.0718820073061255
75,3018,0,1,0.0,0,0,1,7,Grand & Olympic,34.043732,-118.260139,95,100.0,84,0.0136,0.8450980400142568
76,3018,1,0,0.0,0,0,1,47,Grand & Olympic,34.043732,-118.260139,95,100.0,84,0.0136,1.6720978579357175
77,3018,1,0,1.0,0,0,1,177,Grand & Olympic,34.043732,-118.260139,95,100.0,84,0.0136,2.247973266361807
78,3018,1,0,2.0,0,0,1,36,Grand & Olympic,34.043732,-118.260139,95,100.0,84,0.0136,1.5563025007672873
79,3018,1,1,0.0,0,0,1,2,Grand & Olympic,34.043732,-118.260139,95,100.0,84,0.0136,0.3010299956639812
80,3019,0,0,0.0,0,0,1,118,12th & Hill,34.038609,-118.260857,91,100.0,85,0.0177,2.0718820073061255
81,3019,0,0,1.0,0,0,1,528,12th & Hill,34.038609,-118.260857,91,100.0,85,0.0177,2.722633922533812
82,3019,0,0,2.0,0,0,1,169,12th & Hill,34.038609,-118.260857,91,100.0,85,0.0177,2.2278867046136734
83,3019,0,1,0.0,0,0,1,4,12th & Hill,34.038609,-118.260857,91,100.0,85,0.0177,0.6020599913279624
84,3019,0,1,1.0,0,0,1,1,12th & Hill,34.038609,-118.260857,91,100.0,85,0.0177,0.0
85,3019,1,0,0.0,0,0,1,22,12th & Hill,34.038609,-118.260857,91,100.0,85,0.0177,1.3424226808222062
86,3019,1,0,1.0,0,0,1,102,12th & Hill,34.038609,-118.260857,91,100.0,85,0.0177,2.0086001717619175
87,3019,1,0,2.0,0,0,1,25,12th & Hill,34.038609,-118.260857,91,100.0,85,0.0177,1.3979400086720377
88,3020,0,0,0.0,0,0,1,25,Hill & Washington,34.031052,-118.26709,88,88.0,61,0.0238,1.3979400086720377
89,3020,0,0,1.0,0,0,1,108,Hill & Washington,34.031052,-118.26709,88,88.0,61,0.0238,2.03342375548695
90,3020,0,0,2.0,0,0,1,41,Hill & Washington,34.031052,-118.26709,88,88.0,61,0.0238,1.6127838567197355
91,3020,0,1,0.0,0,0,1,4,Hill & Washington,34.031052,-118.26709,88,88.0,61,0.0238,0.6020599913279624
92,3020,1,0,0.0,0,0,1,5,Hill & Washington,34.031052,-118.26709,88,88.0,61,0.0238,0.6989700043360189
93,3020,1,0,1.0,0,0,1,15,Hill & Washington,34.031052,-118.26709,88,88.0,61,0.0238,1.1760912590556813
94,3020,1,0,2.0,0,0,1,6,Hill & Washington,34.031052,-118.26709,88,88.0,61,0.0238,0.7781512503836436
95,3022,0,0,0.0,0,0,1,154,3rd & Santa Fe,34.04607,-118.233093,90,86.0,66,0.036,2.187520720836463
96,3022,0,0,1.0,0,0,1,503,3rd & Santa Fe,34.04607,-118.233093,90,86.0,66,0.036,2.7015679850559273
97,3022,0,0,2.0,0,0,1,151,3rd & Santa Fe,34.04607,-118.233093,90,86.0,66,0.036,2.1789769472931693
98,3022,0,1,0.0,0,0,1,9,3rd & Santa Fe,34.04607,-118.233093,90,86.0,66,0.036,0.9542425094393249
99,3022,0,1,1.0,0,0,1,3,3rd & Santa Fe,34.04607,-118.233093,90,86.0,66,0.036,0.47712125471966244
100,3022,1,0,0.0,0,0,1,59,3rd & Santa Fe,34.04607,-118.233093,90,86.0,66,0.036,1.7708520116421442
101,3022,1,0,1.0,0,0,1,135,3rd & Santa Fe,34.04607,-118.233093,90,86.0,66,0.036,2.130333768495006
102,3022,1,0,2.0,0,0,1,39,3rd & Santa Fe,34.04607,-118.233093,90,86.0,66,0.036,1.591064607026499
103,3022,1,1,0.0,0,0,1,1,3rd & Santa Fe,34.04607,-118.233093,90,86.0,66,0.036,0.0
104,3023,0,0,0.0,0,0,1,101,1st & Judge John Aiso,34.050911,-118.240967,94,100.0,80,0.0273,2.0043213737826426
105,3023,0,0,1.0,0,0,1,277,1st & Judge John Aiso,34.050911,-118.240967,94,100.0,80,0.0273,2.4424797690644486
106,3023,0,0,2.0,0,0,1,78,1st & Judge John Aiso,34.050911,-118.240967,94,100.0,80,0.0273,1.8920946026904804
107,3023,0,1,0.0,0,0,1,4,1st & Judge John Aiso,34.050911,-118.240967,94,100.0,80,0.0273,0.6020599913279624
108,3023,1,0,0.0,0,0,1,32,1st & Judge John Aiso,34.050911,-118.240967,94,100.0,80,0.0273,1.505149978319906
109,3023,1,0,1.0,0,0,1,105,1st & Judge John Aiso,34.050911,-118.240967,94,100.0,80,0.0273,2.0211892990699383
